,MSFT,UNH
,NVDA,PEP
Date,,
2021-08-06,0.8192182760475096,-0.4773855714393799
2021-08-09,0.7487361782747403,-0.6894678011428498
2021-08-10,0.7651664831871892,-0.6602583850669527
2021-08-11,0.9474015894152148,-0.9754464161511359
2021-08-12,1.1110794939862412,-1.0684311703248641
2021-08-13,1.249257019760384,-1.1653176595143748
2021-08-16,1.5529459809367216,-1.0899307503442772
2021-08-17,1.679810261220368,-0.8371792436641676
2021-08-18,1.7386478685133415,-0.7443581269855938
2021-08-19,1.9048880576911507,-0.7319158803215027
2021-08-20,2.0771989571211895,-0.5351078850660804
2021-08-23,1.4670644978456293,-0.6521588760375686
2021-08-24,1.3610016356701875,-0.37100154257413853
2021-08-25,1.0665972888715207,-0.4182194413196894
2021-08-26,0.8624198727567486,-0.45026761016261624
2021-08-27,0.6064149393321159,-0.4162572673748307
2021-08-30,0.955382801920814,-0.642522372740039
2021-08-31,0.9555393224110712,-0.8169506550972446
2021-09-01,0.9193454157281107,-1.0561668241432831
2021-09-02,0.8780749401401203,-0.7667922903961313
2021-09-03,0.6271509614162127,-0.8355255237563354
2021-09-07,0.6345769670099419,-0.4195179112863838
2021-09-08,0.8181253422860731,-1.1299527537391933
2021-09-09,0.6195588155386362,-0.9795306569878377
2021-09-10,0.30081024410547974,-1.379160220099656
2021-09-13,0.6081361058635514,-0.9155127398326963
2021-09-14,0.8313291095453167,-0.8948300028606495
2021-09-15,1.2673469364255372,-0.818315692876174
2021-09-16,1.3617737415870388,-0.7627403079771099
2021-09-17,1.0303850216238915,-0.3227675910387792
2021-09-20,0.9263406913838289,-0.5889643891076147
2021-09-21,0.9008108479752,-0.5931106866487083
2021-09-22,0.8814488680164612,-0.863046346291673
2021-09-23,0.6746622609781855,-0.9192066609838023
2021-09-24,0.8783809882988312,-0.9794567889379536
2021-09-27,0.6077783487895104,-0.7820696929003099
2021-09-28,0.10478277064357944,-0.7858868730802302
2021-09-29,0.25343736058468136,-0.9397605131114498
2021-09-30,-0.06102663819279508,-1.0495054882668295
2021-10-01,0.6258286066393358,-1.0709039993828209
2021-10-04,0.6054471420433375,-1.1922716017020765
2021-10-05,0.7553358461527513,-1.0488251776501336
